IATA,ICAO,Name,Country,Active
,AVR,Active Aero Charter,ACTIVE AERO,N
,AVS,Avialsa T-35,Spain,N
,AVT,Asia Avia Airlines,Indonesia,N
,AVU,Avia Sud A,France,N
,AVV,Airvantage Incorporated,United States,N
,AVW,Aviator Airways,Greece,N
,AVX,Aviapaslauga,Lithuania,N
,XXX,ASL,Belgium,N
,YRG,Air Yugoslavia,Serbia,N
K8,ZAK,Airlink Zambia,Zambia,N
,ZZM,Agence Nationale des Aerodromes et de la Meteorologie,Ivory Coast,N
,BGA,Airbus Transport International,France,N
B9,BGD,Air Bangladesh,Bangladesh,Y
,BGF,Aviodetachment-28,Bulgaria,N
,BGG,Aero BG,Mexico,N
,BHC,Aerotaxis De La Bahia,Mexico,N
DR,BIE,Air Mediterranee,France,Y
,BIV,Aviaservice,Georgia,N
,SZA,Aerolineas De El Salvador,El Salvador,N
,SZL,Swaziland Airlink,Swaziland,N
,TAH,Air Moorea,France,Y
,AVY,Aerovaradero,AEROVARADERO,N
,AVZ,Air Valencia,Spain,N
,AWB,Airways International,AIRNAT,N
,AWK,Airwork,New Zealand,N
,AWL,Australian Wetleasing,Australia,N
,AWN,Air Niamey,Niger,N
,AWO,Awood Air Ltd.,Canada,N
,AWR,Arctic Wings And Rotors Ltd.,Canada,N
,ISM,Auo Airclub AIST-M,Russia,N
,AWS,Arab Wings,Jordan,N
,AWT,Air West,Canada,N
7E,AWU,Aeroline GmbH,Germany,Y
,AWV,Airwave Transport,AIRWAVE,N
6G,AWW,Air Wales,United Kingdom,Y
,AWY,Aeroway,AEROWEE,N
TX,FWI,Air Caraïbes,France,Y
,AWZ,AirWest,Sudan,N
IX,AXB,Air India Express,India,Y
,AXD,Air Express,Sudan,N
HJ,AXF,Asian Express Airlines,Australia,N
,AXH,Aeromexhaga,Mexico,N
,AXI,Aeron International Airlines,AIR FREIGHTER,N
,AXK,African Express Airways,Kenya,N
XT,AXL,Air Exel,Netherlands,Y
AK,AXM,AirAsia,Malaysia,Y
,AXN,Alexandair,Greece,N
,AXP,Aeromax,Spain,N
,AXQ,Action Airlines (Action Air Charter),United States,N
,BNI,Alberni Airways,Canada,N
,BNZ,Aerolineas Bonanza,Mexico,N
,BOC,Aerobona,Mexico,N
,BOI,Aboitiz Air,Philippines,N
,AXR,Axel Rent,RENTAXEL,N
,AXS,Altus Airlines,United States,N
,AXV,Aviaxess,France,N
,AXX,Avioimpex A.D.p.o.,Macedonia,N
6V,AXY,Axis Airways,France,N
,AYD,Aladia Airlines,Mexico,N
,AYK,Aykavia Aircompany,Armenia,N
,AYM,Airman,AIRMAN,N
,AYN,Atlantic Airlines,ATLANTIC NICARAGUA,N
,AYS,Awsaj Aviation Services,Libya,N
,AYT,Ayeet Aviation & Tourism,Israel,N
3G,AYZ,Atlant-Soyuz Airlines,Russia,Y
AZ,AZA,Alitalia,Italy,Y
,AZB,Azamat,Kazakhstan,N
ZE,AZE,Arcus-Air Logistic,Germany,N
,AZF,Air Zermatt AG,Switzerland,N
,AZK,Azalhelikopter,Azerbaijan,N
,AZL,Africa One,Zambia,N
,AZM,Aerocozumel,Mexico,N
Z8,AZN,Amaszonas,Bolivia,Y
,AZP,Arizona Pacific Airways,United States,N
,AZS,Aviacon Zitotrans Air Company,Russia,N
,AZT,Azimut,AZIMUT,N
,AZV,Azov Avia Airlines,Ukraine,N
UM,AZW,Air Zimbabwe,Zimbabwe,Y
,MHC,Aero Jomacha,Mexico,N
,MHS,Air Memphis,Egypt,N
,MHU,Air Memphis,Uganda,N
,MKH,Air Marrakech Service,Morocco,N
,AZX,Air Max Africa,Gabon,N
,AZY,Arizona Airways,ARIZAIR,N
,AZZ,Azza Transport,Sudan,N
,NAR,Air Continental Inc,United States,N
,NAU,Antanik-Air,Ukraine,N
,NER,Air Newark,United States,N
,NFF,Aircraft Support and Services,Lebanon,N
,OBA,Aerobanana,Mexico,N
,OBK,Amako Airlines,Nigeria,N
R7,OCA,Aserca Airlines,Venezuela,Y
,NFS,Afrique CArgo Service Senegal,Senegal,N
,NGC,Angoservice,Angola,N
,NGE,Angel Airlines,Thailand,N
,NGF,Angel Flight America,United States,N
,OUL,Air Atonabee,Canada,N
,OVA,Aero Nova,Spain,N
,XPE,Amira Air,Austria,N
